Old_Name,New_Name
269778_Sauresia_agramma_HT_Morne_d_Enfer,Sauresia agramma 1
269899_Sauresia_agramma_HT_Morne_d_Enfer,Sauresia agramma 2
269900_Sauresia_agramma_HT_Morne_d_Enfer,Sauresia agramma 3
269901_Sauresia_agramma_HT_Morne_d_Enfer,Sauresia agramma 4
191850_Sauresia_cayemitae_HT_Pestel,Sauresia cayemitae 1
274050_Sauresia_cayemitae_HT_Grande_Cayemite,Sauresia cayemitae 2
274113_Sauresia_cayemitae_HT_Grande_Cayemite,Sauresia cayemitae 3
274211_Sauresia_cayemitae_HT_Grande_Cayemite,Sauresia cayemitae 4
274212_Sauresia_cayemitae_HT_Grande_Cayemite,Sauresia cayemitae 5
274224_Sauresia_cayemitae_HT_Grande_Cayemite,Sauresia cayemitae 6
103643_Sauresia_gracilis_HT_Port_Salut,Sauresia gracilis 1
191913_Sauresia_pinguis_HT_Marche_Leon,Sauresia habichi 1
191915_Sauresia_pinguis_HT_Marche_Leon,Sauresia habichi 2
268585_Sauresia_manicula_HT_Berry,Sauresia manicula 1
268586_Sauresia_manicula_HT_Berry,Sauresia manicula 2
191851_Sauresia_pangnolae_HT_Pestel,Sauresia pangnolae 1
192312_Sauresia_pangnolae_HT_Baraderes,Sauresia pangnolae 2
192313_Sauresia_pangnolae_HT_Baraderes,Sauresia pangnolae 3
274213_Sauresia_pangnolae_HT_Morne_Bois_Pangnol,Sauresia pangnolae 4
102369_Sauresia_sepsoides_DO_Sabana_de_la_Mar,Sauresia sepsoides 1
102383_Sauresia_sepsoides_DO_El_Valle,Sauresia sepsoides 2
102384_Sauresia_sepsoides_DO_El_Valle,Sauresia sepsoides 3
192469_Sauresia_sepsoides_DO_La_Zurza,Sauresia sepsoides 4
193040_Sauresia_sepsoides_DO_Cotui,Sauresia sepsoides 5
193041_Sauresia_sepsoides_DO_Cotui,Sauresia sepsoides 6
193042_Sauresia_sepsoides_DO_Cotui,Sauresia sepsoides 7
193093_Sauresia_sepsoides_DO_Batez_Piedra,Sauresia sepsoides 8
193116_Sauresia_sepsoides_DO_Majagual,Sauresia sepsoides 9
193149_Sauresia_sepsoides_DO_Loma_Quita_Espuela,Sauresia sepsoides 10
193201_Sauresia_sepsoides_DO_Tenares,Sauresia sepsoides 11
193202_Sauresia_sepsoides_DO_Tenares,Sauresia sepsoides 12
193203_Sauresia_sepsoides_DO_Tenares,Sauresia sepsoides 13
193204_Sauresia_sepsoides_DO_Tenares,Sauresia sepsoides 14
266746_Sauresia_sepsoides_DO_Los_Limones,Sauresia sepsoides 15
266748_Sauresia_sepsoides_HT_Jacmel,Sauresia sepsoides 16
266749_Sauresia_sepsoides_HT_Jacmel,Sauresia sepsoides 17
266750_Sauresia_sepsoides_DO_Los_Limones,Sauresia sepsoides 18
266754_Sauresia_sepsoides_DO_S_Los_Limones,Sauresia sepsoides 19
267754_Sauresia_sepsoides_DO_1769_SW_Los_Limones,Sauresia sepsoides 20
267755_Sauresia_sepsoides_DO_1769_SW_Los_Limones,Sauresia sepsoides 21
267756_Sauresia_sepsoides_DO_1769_SW_Los_Limones,Sauresia sepsoides 22
267757_Sauresia_sepsoides_DO_1769_SW_Los_Limones,Sauresia sepsoides 23
267758_Sauresia_sepsoides_DO_1769_SW_Los_Limones,Sauresia sepsoides 24
267773_Sauresia_sepsoides_DO_1765_W_El_Valle,Sauresia sepsoides 25
267780_Sauresia_sepsoides_DO_1766_S_Naranjo_Arriba,Sauresia sepsoides 26
267781_Sauresia_sepsoides_DO_1766_S_Naranjo_Arriba,Sauresia sepsoides 27
160343_Sauresia_synoria_DO_Pedernales,Sauresia synoria 1
266705_Wetmorena_surda_DO_N_Los_Arroyos,Wetmorena surda 1
