Name in tree,New_names,Type,Genus,Species,Museum,Number,Country,Province,Locality,Elevation,Date Collected,Collectors,Remarks,Latitude (decimal),Longitude (decimal),SVL,pattern,head markings,nuchal lines,dots in lateral band,mental to vent scale count,midbody scalecount,total finger lamella,strigae on ten scales,total toe length,scale under eye to lip distance,eye length,arm length,ear width,rostral width,rostral height,head length,mental width,post mental width,cloaca width,prefrontal width,largest supraoccular width,Finger III length,ear to eye distance,head width,frontal width,frontal lenght
" ""191913_Sauresia_sepsoides_HT_Marche_Leon""          ",Sauresia agramma 1,Paratype,Sauresia,Sauresia pinguis,ANSP,38681,Haiti,Dept. de la Grand'Anse,Marche Leon  8.0 km S of,435 meters,5/28/1991,S. Blair Hedges  Manuel Leal  Richard Thomas  and Nicholas Plummer,,18.516777,-74.083109,59.7,3,1,1,0,122,41,18,113,7.72,0.12,1.38,7.04,0.38,1.46,0.8,8.94,0.93,1.39,3.99,2.25,1.33,1.4,4.36,6.95,2.14,2.98
" ""191915_Sauresia_sepsoides_HT_Marche_Leon""          ",Sauresia agramma 2,Holotype,Sauresia,Sauresia pinguis,ANSP,38683,Haiti,Dept. de la Grand'Anse,Marche Leon  8.0 km S of,435 meters,5/28/1991,S. Blair Hedges  Manuel Leal  Richard Thomas  and Nicholas Plummer,,18.516777,-74.083109,50.5,5,1,1,0,125,38,19,89,6.63,0.03,1.21,6.61,0.34,1.43,0.59,7.16,0.92,1.18,3.07,2,1.05,1.37,3.41,5.63,1.88,2.54
" ""268585_Sauresia_sepsoides_HT_Berry""                ",Sauresia agramma 3,Holotype,Sauresia,Sauresia manicula,ANSP,38667,Haiti,L'Ouest,Berry,1630m,,,,18.307945,-72.253894,69,3,,1,0,129,37,17,150,8.32,0.13,1.58,7.93,0.6,1.73,0.91,9.83,1.15,1.49,4.42,2.5,1.39,1.52,5.17,8.14,2.55,3.13
" ""268586_Sauresia_sepsoides_HT_Berry""                ",Sauresia agramma 4,Paratype,Sauresia,Sauresia manicula,ANSP,38668,Haiti,L'Ouest,Berry,1630m,,,,18.307945,-72.253894,59.6,3,,1,0,123,37,17,119,6.68,0.1,1.38,7.09,0.36,1.36,0.72,7.78,0.88,1.27,3.16,1.98,1.11,1.32,4.03,5.67,na,2.59
" ""192313_Sauresia_sepsoides_HT_Baraderes""            ",Sauresia cayemitae 1,Paratype,Sauresia,Sauresia pangnolae,ANSP,38664,Haiti,Dept. de la Grand'Anse,Baraderes  8.0 km SSW of,420 meters,6/7/1991,S. Blair Hedges  Nicholas Plummer  Manuel Leal  Richard Thomas  and locals,eleuths found on limestone rocks  A. cybotes and A. manticola found sleeping on ferns  E. abbotti female found in leaf litter,18.44032,-73.667556,54.3,1,0,1,1,104,39,18,104,7.77,0.07,1.51,6.78,0.6,1.39,0.76,8.3,0.95,1.31,3.66,2.08,1.43,1.38,4.05,6.49,2.11,2.76
" ""193204_Sauresia_sepsoides_DO_Tenares""              ",Sauresia cayemitae 2,Paratype,Sauresia,Sauresia varia,ANSP,38709,Dominican Republic,Los Tabucos,Tenares  8.8 km N  thence 0.5 km W (Salcedo Prov.),455 meters,7/21/1993,Richard Thomas,cacao-coffee grove,,,59,2,1,1,0,114,36,17,106,7.86,0.12,1.46,7.01,0.32,1.6,0.66,9.11,0.87,1.27,3.63,2.31,1.28,1.38,4.74,6.44,2.26,3.27
" ""274213_Sauresia_sepsoides_HT_Morne_Bois_Pangnol""   ",Sauresia cayemitae 3,Holotype,Sauresia,Sauresia pangnolae,ANSP,38684,Haiti,Nippes,Morne Bois Pangnol,1170m,,,,18.418689,-73.775122,66.1,1,0,0,1,115,42,17,92,7.67,0.12,1.69,7.54,0.45,1.47,0.81,8.62,0.81,1.57,4.2,na,1.17,1.53,4.59,6.74,2.06,2.96
" ""191851_Sauresia_sepsoides_HT_Pestel""               ",Sauresia cayemitae 4,Paratype,Sauresia,Sauresia pangnolae,ANSP,38690,Haiti,Dept. de la Grand'Anse,Pestel  11.8 km S of,550 meters,5/25/1991,Richard Thomas and Manuel Leal,,18.479421,-73.78744,54.3,2,0,0,1,109,38,15,96,7.42,0.08,1.64,6.84,0.44,1.38,0.8,8.34,0.79,1.11,3.7,2.01,1.15,1.38,4.04,6.24,2.12,2.6
" ""269778_Sauresia_sepsoides_HT_Morne_d_Enfer""        ",Sauresia cayemitae 5,Paratype,Sauresia,Sauresia alinea,ANSP,38685,Haiti,Sud-Est,Morne D'Enfer,1433m,,,,18.330052,-72.37095,69.1,0,0,0,0,123,38,17,103,7.8,0.15,1.69,7.06,0.49,1.55,0.76,9.42,1.11,1.62,4.21,2.09,1.29,1.46,4.79,6.77,na,na
" ""269900_Sauresia_sepsoides_HT_Morne_d_Enfer""        ",Sauresia cayemitae 6,Paratype,Sauresia,Sauresia alinea,ANSP,38687,,,,,,,,,,49.4,0,0,0,0,124,37,17,,,,,,,,,,,,,,,,,,,
" ""193041_Sauresia_sepsoides_DO_Cotui""                ",Sauresia gracilis 1,Paratype,Sauresia,Sauresia varia,ANSP,38671,Dominican Republic,Sanchez Ramirez Prov.,Cotui  8.6 km NE of  thence 8.1 km east (=El Aguacate),35 meters,7/11/1993,Manuel Leal  Richard Thomas,rocky  open hillside in cut-over kerst hills; many limestone rocks,19.1037,-70.0531,59.1,1,0,0,0,117,37,16,96,6.35,0.16,1.47,5.81,0.36,1.5,0.81,7.87,0.97,1.29,3.78,2.09,1.12,1.03,3.78,5.57,2.2,2.65
" ""193093_Sauresia_sepsoides_DO_Batez_Piedra""         ",Sauresia habichi 1,Paratype,Sauresia,Sauresia varia,ANSP,38666,Dominican Republic,Duarte Prov.,Batez Piedra on west side of Rio Pazabo,35 meters,7/13/1993,Richard Thomas  Manuel Leal  and Herman Dominicia,locality = ca. 10.5 km airline NNE of Cervicos,19.06997,-69.90815,48.6,1,0,0,0,116,36,16,,,,,,,,,7.34,,,,,,,,,,
" ""193202_Sauresia_sepsoides_DO_Tenares""              ",Sauresia habichi 2,Paratype,Sauresia,Sauresia varia,ANSP,38707,Dominican Republic,Los Tabucos,Tenares  8.8 km N  thence 0.5 km W (Salcedo Prov.),455 meters,7/21/1993,Richard Thomas,cacao-coffee grove,,,59.6,1,0,0,0,118,36,17,97,7.14,0.13,1.51,6.53,0.49,1.53,0.74,8.44,0.91,1.25,3.48,1.98,1.11,1.28,4.32,6.04,2.04,2.76
" ""193203_Sauresia_sepsoides_DO_Tenares""              ",Sauresia manicula 1,Paratype,Sauresia,Sauresia varia,ANSP,38708,Dominican Republic,Los Tabucos,Tenares  8.8 km N  thence 0.5 km W (Salcedo Prov.),455 meters,7/21/1993,Richard Thomas,cacao-coffee grove,,,58.9,1,0,0,0,115,36,17,94,7.09,0.16,1.47,6.27,0.3,1.6,0.81,8.42,1.11,1.33,3.23,2.12,1,1.35,4.03,5.89,2.08,2.87
" ""269901_Sauresia_sepsoides_HT_Morne_d_Enfer""        ",Sauresia manicula 2,Holotype,Sauresia,Sauresia alinea,ANSP,38688,,,,,,,,,,64.8,1,0,0,0,127,37,17,138,7.94,0.17,1.49,7.14,0.43,1.57,0.74,8.91,1.04,1.49,3.96,2.16,1.23,1.49,4.49,6.21,2.55,3.18
" ""193040_Sauresia_sepsoides_DO_Cotui""                ",Sauresia pangnolae 1,Paratype,Sauresia,Sauresia varia,ANSP,38670,Dominican Republic,Sanchez Ramirez Prov.,Cotui  8.6 km NE of  thence 8.1 km east (=El Aguacate),35 meters,7/11/1993,Manuel Leal  Richard Thomas,rocky  open hillside in cut-over kerst hills; many limestone rocks,19.1037,-70.0531,62.8,2,0,0,0,114,35,16,114,6.79,0.19,1.57,5.95,0.5,2,1,8.21,0.86,1.22,3.63,2.11,1.41,1.17,3.85,5.88,2.35,2.79
" ""192469_Sauresia_sepsoides_DO_La_Zurza""             ",Sauresia pangnolae 2,Paratype,Sauresia,Sauresia varia,ANSP,38678,Dominican Republic,La Altagracia,La Zanga  7.5 km W of (at Rio Maimon),25 meters,7/20/1991,S. Blair Hedges  Richard Thomas  and Nicholas Plummer,,,,62.8,2,0,0,0,118,36,17,101,7.7,0.12,1.55,6.86,0.59,1.72,0.9,9.28,1.09,1.42,3.87,2.36,1.31,1.33,4.77,6.79,2.3,2.83
" ""269899_Sauresia_sepsoides_HT_Morne_d_Enfer""        ",Sauresia pangnolae 3,Paratype,Sauresia,Sauresia alinea,ANSP,38686,,,,,,,,,,53.8,1,1,0,0,121,39,17,103,8.04,0.14,1.7,7.31,0.31,1.5,0.78,8.2,1.1,1.45,3.67,2.14,1.33,1.54,4.23,6.12,2.31,2.82
